type,busbar_name,existing_line_name,percentage
K,85-016.588-K-2,85-016.430-K-3-R1,30.620155038759826
K,85-016.566-K-2,85-016.430-K-3-R1,26.35658914728658
K,85-016.543-K-2,85-016.430-K-3-R1,21.899224806201385
K,85-016.520-K-2,85-016.430-K-3-R1,17.44186046511619
K,85-016.496-K-2,85-016.430-K-3-R1,12.790697674418356
K,85-016.472-K-2,85-016.430-K-3-R1,8.13953488372121
K,85-016.447-K-2,85-016.430-K-3-R1,3.2945736434107364
K,85-016.422-K-2,82-016.056-K-1-T2,97.86096256684515
K,85-016.397-K-2,82-016.056-K-1-T2,91.17647058823492
K,85-016.372-K-2,82-016.056-K-1-T2,84.49197860962566
K,85-016.347-K-2,82-016.056-K-1-T2,77.8074866310164
K,85-016.322-K-2,82-016.056-K-1-T2,71.12299465240618
K,85-016.297-K-2,82-016.056-K-1-T2,64.43850267379692
K,85-016.272-K-2,82-016.056-K-1-T2,57.7540106951867
K,85-016.247-K-2,82-016.056-K-1-T2,51.06951871657742
K,85-016.222-K-2,82-016.056-K-1-T2,44.38502673796816
K,85-016.197-K-2,82-016.056-K-1-T2,37.70053475935794
K,85-016.172-K-2,82-016.056-K-1-T2,31.01604278074867
K,85-016.147-K-2,82-016.056-K-1-T2,24.331550802138455
K,85-016.122-K-2,82-016.056-K-1-T2,17.64705882352919
K,85-016.097-K-2,82-016.056-K-1-T2,10.96256684491992
K,85-016.072-K-2,82-016.056-K-1-T2,4.278074866309703
K,85-016.047-K-2,82-016.010-K-1-V1,80.43478260869465
K,85-016.022-K-2,82-016.010-K-1-V1,26.086956521732752
K,85-015.997-K-2,84-015.974-K-1-GR1,63.888888888885596
K,85-015.972-K-2,83-015.116-K-2-1-L3,99.76689976689968
K,85-015.946-K-2,83-015.116-K-2-1-L3,96.73659673659668
K,85-015.920-K-2,83-015.116-K-2-1-L3,93.70629370629368
K,85-015.894-K-2,83-015.116-K-2-1-L3,90.67599067599068
K,85-015.868-K-2,83-015.116-K-2-1-L3,87.64568764568766
K,85-015.842-K-2,83-015.116-K-2-1-L3,84.61538461538466
K,85-015.816-K-2,83-015.116-K-2-1-L3,81.58508158508165
K,85-015.791-K-2,83-015.116-K-2-1-L3,78.6713286713287
K,85-015.766-K-2,83-015.116-K-2-1-L3,75.75757575757575
K,85-015.741-K-2,83-015.116-K-2-1-L3,72.8438228438228
K,85-015.716-K-2,83-015.116-K-2-1-L3,69.93006993006985
K,85-015.691-K-2,83-015.116-K-2-1-L3,67.01631701631709
K,85-015.666-K-2,83-015.116-K-2-1-L3,64.10256410256414
K,85-015.642-K-2,83-015.116-K-2-1-L3,61.30536130536124
K,85-015.618-K-2,83-015.116-K-2-1-L3,58.508158508158544
