id,km,BTR,spor,koerledning_pos,retur_pos
46489,16.072,85,Nordgaaende,85-016.072-K-2,85-016.072-R-2
46483,16.047,85,Nordgaaende,85-016.047-K-2,85-016.047-R-2
46477,16.022,85,Nordgaaende,85-016.022-K-2,85-016.022-R-2
46471,15.997,85,Nordgaaende,85-015.997-K-2,85-015.997-R-2
46465,15.972,85,Nordgaaende,85-015.972-K-2,85-015.972-R-2
46459,15.946,85,Nordgaaende,85-015.946-K-2,85-015.946-R-2
46453,15.92,85,Nordgaaende,85-015.920-K-2,85-015.920-R-2
46447,15.894,85,Nordgaaende,85-015.894-K-2,85-015.894-R-2
46441,15.868,85,Nordgaaende,85-015.868-K-2,85-015.868-R-2
46435,15.842,85,Nordgaaende,85-015.842-K-2,85-015.842-R-2
46429,15.816,85,Nordgaaende,85-015.816-K-2,85-015.816-R-2
46423,15.791,85,Nordgaaende,85-015.791-K-2,85-015.791-R-2
46417,15.766,85,Nordgaaende,85-015.766-K-2,85-015.766-R-2
46411,15.741,85,Nordgaaende,85-015.741-K-2,85-015.741-R-2
46405,15.716,85,Nordgaaende,85-015.716-K-2,85-015.716-R-2
46399,15.691,85,Nordgaaende,85-015.691-K-2,85-015.691-R-2
46393,15.666,85,Nordgaaende,85-015.666-K-2,85-015.666-R-2
46387,15.642,85,Nordgaaende,85-015.642-K-2,85-015.642-R-2
46381,15.618,85,Nordgaaende,85-015.618-K-2,85-015.618-R-2
46375,15.594,85,Nordgaaende,85-015.594-K-2,85-015.594-R-2
46369,15.57,85,Nordgaaende,85-015.570-K-2,85-015.570-R-2
46363,15.546,85,Nordgaaende,85-015.546-K-2,85-015.546-R-2
46357,15.522,85,Nordgaaende,85-015.522-K-2,85-015.522-R-2
46351,15.498,85,Nordgaaende,85-015.498-K-2,85-015.498-R-2
46345,15.474,85,Nordgaaende,85-015.474-K-2,85-015.474-R-2
46339,15.451,85,Nordgaaende,85-015.451-K-2,85-015.451-R-2
46333,15.428,85,Nordgaaende,85-015.428-K-2,85-015.428-R-2
46327,15.405,85,Nordgaaende,85-015.405-K-2,85-015.405-R-2
46321,15.382,85,Nordgaaende,85-015.382-K-2,85-015.382-R-2
46315,15.359,85,Nordgaaende,85-015.359-K-2,85-015.359-R-2
46309,15.336,85,Nordgaaende,85-015.336-K-2,85-015.336-R-2
46303,15.313,85,Nordgaaende,85-015.313-K-2,85-015.313-R-2
46297,15.291,85,Nordgaaende,85-015.291-K-2,85-015.291-R-2
46291,15.269,85,Nordgaaende,85-015.269-K-2,85-015.269-R-2
46285,15.247,85,Nordgaaende,85-015.247-K-2,85-015.247-R-2
46279,15.225,85,Nordgaaende,85-015.225-K-2,85-015.225-R-2
46273,15.203,85,Nordgaaende,85-015.203-K-2,85-015.203-R-2
46267,15.181,85,Nordgaaende,85-015.181-K-2,85-015.181-R-2
46261,15.159,85,Nordgaaende,85-015.159-K-2,85-015.159-R-2
46255,15.137,85,Nordgaaende,85-015.137-K-2,85-015.137-R-2
46249,15.115,85,Nordgaaende,85-015.115-K-2,85-015.115-R-2
46243,15.093,85,Nordgaaende,85-015.093-K-2,85-015.093-R-2
46237,15.071,85,Nordgaaende,85-015.071-K-2,85-015.071-R-2
46231,15.049,85,Nordgaaende,85-015.049-K-2,85-015.049-R-2
46225,15.027,85,Nordgaaende,85-015.027-K-2,85-015.027-R-2
46219,15.005,85,Nordgaaende,85-015.005-K-2,85-015.005-R-2
46213,14.983,85,Nordgaaende,85-014.983-K-2,85-014.983-R-2
46207,14.962,85,Nordgaaende,85-014.962-K-2,85-014.962-R-2
46201,14.941,85,Nordgaaende,85-014.941-K-2,85-014.941-R-2
46195,14.92,85,Nordgaaende,85-014.920-K-2,85-014.920-R-2
46189,14.899,85,Nordgaaende,85-014.899-K-2,85-014.899-R-2
46183,14.878,85,Nordgaaende,85-014.878-K-2,85-014.878-R-2
46177,14.857,85,Nordgaaende,85-014.857-K-2,85-014.857-R-2
46171,14.837,85,Nordgaaende,85-014.837-K-2,85-014.837-R-2
46165,14.817,85,Nordgaaende,85-014.817-K-2,85-014.817-R-2
46159,14.798,85,Nordgaaende,85-014.798-K-2,85-014.798-R-2
46153,14.779,85,Nordgaaende,85-014.779-K-2,85-014.779-R-2
46147,14.761,85,Nordgaaende,85-014.761-K-2,85-014.761-R-2
46141,14.743,85,Nordgaaende,85-014.743-K-2,85-014.743-R-2
46135,14.726,85,Nordgaaende,85-014.726-K-2,85-014.726-R-2
46129,14.71,85,Nordgaaende,85-014.710-K-2,85-014.710-R-2
46123,14.694,85,Nordgaaende,85-014.694-K-2,85-014.694-R-2
46117,14.679,85,Nordgaaende,85-014.679-K-2,85-014.679-R-2
46111,14.665,85,Nordgaaende,85-014.665-K-2,85-014.665-R-2
46105,14.651,85,Nordgaaende,85-014.651-K-2,85-014.651-R-2
46099,14.638,85,Nordgaaende,85-014.638-K-2,85-014.638-R-2
46093,14.626,85,Nordgaaende,85-014.626-K-2,85-014.626-R-2
46087,14.615,85,Nordgaaende,85-014.615-K-2,85-014.615-R-2
46081,14.604,85,Nordgaaende,85-014.604-K-2,85-014.604-R-2
46075,14.594,85,Nordgaaende,85-014.594-K-2,85-014.594-R-2
46069,14.585,85,Nordgaaende,85-014.585-K-2,85-014.585-R-2
46063,14.577,85,Nordgaaende,85-014.577-K-2,85-014.577-R-2
46057,14.57,85,Nordgaaende,85-014.570-K-2,85-014.570-R-2
46051,14.564,85,Nordgaaende,85-014.564-K-2,85-014.564-R-2
46045,14.559,85,Nordgaaende,85-014.559-K-2,85-014.559-R-2
46039,14.556,85,Nordgaaende,85-014.556-K-2,85-014.556-R-2
46033,14.554,85,Nordgaaende,85-014.554-K-2,85-014.554-R-2
45859,14.553,85,Nordgaaende,85-014.553-K-2,85-014.553-R-2
45853,14.552,85,Nordgaaende,85-014.552-K-2,85-014.552-R-2
45847,14.55,85,Nordgaaende,85-014.550-K-2,85-014.550-R-2
45841,14.547,85,Nordgaaende,85-014.547-K-2,85-014.547-R-2
45835,14.543,85,Nordgaaende,85-014.543-K-2,85-014.543-R-2
45829,14.538,85,Nordgaaende,85-014.538-K-2,85-014.538-R-2
45823,14.531,85,Nordgaaende,85-014.531-K-2,85-014.531-R-2
45817,14.523,85,Nordgaaende,85-014.523-K-2,85-014.523-R-2
45811,14.513,85,Nordgaaende,85-014.513-K-2,85-014.513-R-2
45805,14.502,85,Nordgaaende,85-014.502-K-2,85-014.502-R-2
45799,14.49,85,Nordgaaende,85-014.490-K-2,85-014.490-R-2
45793,14.477,85,Nordgaaende,85-014.477-K-2,85-014.477-R-2
45787,14.463,85,Nordgaaende,85-014.463-K-2,85-014.463-R-2
45781,14.448,85,Nordgaaende,85-014.448-K-2,85-014.448-R-2
45775,14.432,85,Nordgaaende,85-014.432-K-2,85-014.432-R-2
45769,14.415,85,Nordgaaende,85-014.415-K-2,85-014.415-R-2
45763,14.398,85,Nordgaaende,85-014.398-K-2,85-014.398-R-2
45757,14.38,85,Nordgaaende,85-014.380-K-2,85-014.380-R-2
45751,14.361,85,Nordgaaende,85-014.361-K-2,85-014.361-R-2
45745,14.342,85,Nordgaaende,85-014.342-K-2,85-014.342-R-2
45739,14.322,85,Nordgaaende,85-014.322-K-2,85-014.322-R-2
45733,14.301,85,Nordgaaende,85-014.301-K-2,85-014.301-R-2
45727,14.28,85,Nordgaaende,85-014.280-K-2,85-014.280-R-2
45721,14.258,85,Nordgaaende,85-014.258-K-2,85-014.258-R-2
45715,14.236,85,Nordgaaende,85-014.236-K-2,85-014.236-R-2
45709,14.213,85,Nordgaaende,85-014.213-K-2,85-014.213-R-2
45703,14.19,85,Nordgaaende,85-014.190-K-2,85-014.190-R-2
45697,14.166,85,Nordgaaende,85-014.166-K-2,85-014.166-R-2
45691,14.142,85,Nordgaaende,85-014.142-K-2,85-014.142-R-2
45685,14.117,85,Nordgaaende,85-014.117-K-2,85-014.117-R-2
45679,14.092,85,Nordgaaende,85-014.092-K-2,85-014.092-R-2
45673,14.066,85,Nordgaaende,85-014.066-K-2,85-014.066-R-2
45667,14.04,85,Nordgaaende,85-014.040-K-2,85-014.040-R-2
45661,14.013,85,Nordgaaende,85-014.013-K-2,85-014.013-R-2
45655,13.986,85,Nordgaaende,85-013.986-K-2,85-013.986-R-2
45649,13.958,85,Nordgaaende,85-013.958-K-2,85-013.958-R-2
45643,13.93,85,Nordgaaende,85-013.930-K-2,85-013.930-R-2
45637,13.902,85,Nordgaaende,85-013.902-K-2,85-013.902-R-2
45631,13.874,85,Nordgaaende,85-013.874-K-2,85-013.874-R-2
45625,13.846,85,Nordgaaende,85-013.846-K-2,85-013.846-R-2
45619,13.818,85,Nordgaaende,85-013.818-K-2,85-013.818-R-2
45613,13.79,85,Nordgaaende,85-013.790-K-2,85-013.790-R-2
45607,13.762,85,Nordgaaende,85-013.762-K-2,85-013.762-R-2
45601,13.734,85,Nordgaaende,85-013.734-K-2,85-013.734-R-2
45595,13.706,85,Nordgaaende,85-013.706-K-2,85-013.706-R-2
45589,13.678,85,Nordgaaende,85-013.678-K-2,85-013.678-R-2
