id,km,BTR,spor
45637,13.902,85,Nordgaaende
45631,13.874,85,Nordgaaende
45625,13.846,85,Nordgaaende
45619,13.818,85,Nordgaaende
45613,13.79,85,Nordgaaende
45607,13.762,85,Nordgaaende
45601,13.734,85,Nordgaaende
45595,13.706,85,Nordgaaende
45589,13.678,85,Nordgaaende
45583,13.65,85,Nordgaaende
45577,13.622,85,Nordgaaende
45571,13.594,85,Nordgaaende
45565,13.566,85,Nordgaaende
45559,13.538,85,Nordgaaende
45553,13.51,85,Nordgaaende
45547,13.482,85,Nordgaaende
45541,13.454,85,Nordgaaende
45535,13.426,85,Nordgaaende
45529,13.399,85,Nordgaaende
45523,13.372,85,Nordgaaende
45517,13.345,85,Nordgaaende
45511,13.318,85,Nordgaaende
45505,13.291,85,Nordgaaende
45499,13.264,85,Nordgaaende
45493,13.237,85,Nordgaaende
45487,13.21,85,Nordgaaende
45481,13.183,85,Nordgaaende
45475,13.156,85,Nordgaaende
45469,13.129,85,Nordgaaende
45463,13.102,85,Nordgaaende
45457,13.075,85,Nordgaaende
45451,13.049,85,Nordgaaende
45445,13.023,85,Nordgaaende
45439,12.997,85,Nordgaaende
45433,12.971,85,Nordgaaende
45427,12.945,85,Nordgaaende
45421,12.919,85,Nordgaaende
45415,12.894,85,Nordgaaende
45409,12.869,85,Nordgaaende
45403,12.844,85,Nordgaaende
45397,12.82,85,Nordgaaende
45391,12.796,85,Nordgaaende
45385,12.773,85,Nordgaaende
45379,12.75,85,Nordgaaende
45373,12.728,85,Nordgaaende
45367,12.706,85,Nordgaaende
45361,12.685,85,Nordgaaende
45355,12.664,85,Nordgaaende
45349,12.644,85,Nordgaaende
45343,12.625,85,Nordgaaende
45337,12.606,85,Nordgaaende
45331,12.588,85,Nordgaaende
45325,12.57,85,Nordgaaende
45319,12.553,85,Nordgaaende
45313,12.536,85,Nordgaaende
45307,12.52,85,Nordgaaende
45301,12.505,85,Nordgaaende
45295,12.49,85,Nordgaaende
45289,12.476,85,Nordgaaende
45283,12.462,85,Nordgaaende
45277,12.449,85,Nordgaaende
45271,12.437,85,Nordgaaende
45265,12.425,85,Nordgaaende
45259,12.414,85,Nordgaaende
45253,12.404,85,Nordgaaende
45247,12.395,85,Nordgaaende
45241,12.387,85,Nordgaaende
45235,12.38,85,Nordgaaende
45229,12.374,85,Nordgaaende
45223,12.37,85,Nordgaaende
45217,12.367,85,Nordgaaende
45211,12.365,85,Nordgaaende
45085,12.364,85,Nordgaaende
45079,12.363,85,Nordgaaende
45073,12.361,85,Nordgaaende
45067,12.358,85,Nordgaaende
45061,12.353,85,Nordgaaende
45055,12.347,85,Nordgaaende
45049,12.339,85,Nordgaaende
45043,12.33,85,Nordgaaende
45037,12.32,85,Nordgaaende
45031,12.309,85,Nordgaaende
45025,12.297,85,Nordgaaende
45019,12.284,85,Nordgaaende
45013,12.27,85,Nordgaaende
45007,12.255,85,Nordgaaende
45001,12.239,85,Nordgaaende
44995,12.222,85,Nordgaaende
44989,12.205,85,Nordgaaende
44983,12.187,85,Nordgaaende
44977,12.168,85,Nordgaaende
44971,12.149,85,Nordgaaende
44965,12.129,85,Nordgaaende
44959,12.108,85,Nordgaaende
44953,12.087,85,Nordgaaende
44947,12.065,85,Nordgaaende
44941,12.042,85,Nordgaaende
44935,12.019,85,Nordgaaende
44929,11.995,85,Nordgaaende
44923,11.971,85,Nordgaaende
44917,11.946,85,Nordgaaende
44911,11.92,85,Nordgaaende
44905,11.894,85,Nordgaaende
44899,11.868,85,Nordgaaende
44893,11.841,85,Nordgaaende
44887,11.814,85,Nordgaaende
44881,11.786,85,Nordgaaende
44875,11.758,85,Nordgaaende
44869,11.73,85,Nordgaaende
44863,11.702,85,Nordgaaende
44857,11.674,85,Nordgaaende
44851,11.646,85,Nordgaaende
44845,11.618,85,Nordgaaende
44839,11.59,85,Nordgaaende
44833,11.562,85,Nordgaaende
44827,11.534,85,Nordgaaende
44821,11.506,85,Nordgaaende
44815,11.478,85,Nordgaaende
44809,11.45,85,Nordgaaende
44803,11.422,85,Nordgaaende
44797,11.394,85,Nordgaaende
44791,11.366,85,Nordgaaende
44785,11.338,85,Nordgaaende
44779,11.31,85,Nordgaaende
44773,11.282,85,Nordgaaende
44767,11.254,85,Nordgaaende
44761,11.226,85,Nordgaaende
44755,11.198,85,Nordgaaende
44749,11.17,85,Nordgaaende
44743,11.143,85,Nordgaaende
44737,11.116,85,Nordgaaende
44731,11.089,85,Nordgaaende
44725,11.062,85,Nordgaaende
44719,11.035,85,Nordgaaende
44713,11.008,85,Nordgaaende
44707,10.981,85,Nordgaaende
44701,10.954,85,Nordgaaende
44695,10.927,85,Nordgaaende
44689,10.9,85,Nordgaaende
44683,10.873,85,Nordgaaende
44677,10.846,85,Nordgaaende
44671,10.819,85,Nordgaaende
44665,10.792,85,Nordgaaende
44659,10.765,85,Nordgaaende
44653,10.738,85,Nordgaaende
44647,10.712,85,Nordgaaende
44641,10.686,85,Nordgaaende
44635,10.66,85,Nordgaaende
44629,10.635,85,Nordgaaende
44623,10.61,85,Nordgaaende
44617,10.586,85,Nordgaaende
44611,10.562,85,Nordgaaende
44605,10.539,85,Nordgaaende
44599,10.516,85,Nordgaaende
44593,10.494,85,Nordgaaende
44587,10.472,85,Nordgaaende
44581,10.451,85,Nordgaaende
44575,10.431,85,Nordgaaende
44569,10.411,85,Nordgaaende
44563,10.392,85,Nordgaaende
44557,10.374,85,Nordgaaende
44551,10.356,85,Nordgaaende
44545,10.339,85,Nordgaaende
44539,10.323,85,Nordgaaende
44533,10.307,85,Nordgaaende
44527,10.292,85,Nordgaaende
44521,10.278,85,Nordgaaende
44515,10.264,85,Nordgaaende
44509,10.251,85,Nordgaaende
44503,10.238,85,Nordgaaende
44497,10.226,85,Nordgaaende
44491,10.215,85,Nordgaaende
44485,10.204,85,Nordgaaende
44479,10.194,85,Nordgaaende
44473,10.184,85,Nordgaaende
44467,10.175,85,Nordgaaende
44461,10.167,85,Nordgaaende
44455,10.16,85,Nordgaaende
44449,10.154,85,Nordgaaende
44443,10.149,85,Nordgaaende
44437,10.145,85,Nordgaaende
44431,10.142,85,Nordgaaende
44425,10.14,85,Nordgaaende
44419,10.139,85,Nordgaaende
44287,10.138,85,Nordgaaende
44281,10.137,85,Nordgaaende
44275,10.135,85,Nordgaaende
44269,10.132,85,Nordgaaende
44263,10.127,85,Nordgaaende
44257,10.121,85,Nordgaaende
44251,10.113,85,Nordgaaende
44245,10.104,85,Nordgaaende
44239,10.094,85,Nordgaaende
44233,10.082,85,Nordgaaende
44227,10.069,85,Nordgaaende
44221,10.055,85,Nordgaaende
44215,10.04,85,Nordgaaende
44209,10.025,85,Nordgaaende
44203,10.009,85,Nordgaaende
44197,9.992,85,Nordgaaende
44191,9.974,85,Nordgaaende
44185,9.956,85,Nordgaaende
44179,9.937,85,Nordgaaende
44173,9.918,85,Nordgaaende
44167,9.898,85,Nordgaaende
44161,9.877,85,Nordgaaende
44155,9.856,85,Nordgaaende
44149,9.834,85,Nordgaaende
44143,9.812,85,Nordgaaende
44137,9.789,85,Nordgaaende
44131,9.765,85,Nordgaaende
44125,9.741,85,Nordgaaende
44119,9.716,85,Nordgaaende
44113,9.691,85,Nordgaaende
44107,9.665,85,Nordgaaende
44101,9.639,85,Nordgaaende
44095,9.612,85,Nordgaaende
44089,9.585,85,Nordgaaende
44083,9.558,85,Nordgaaende
44077,9.531,85,Nordgaaende
44071,9.504,85,Nordgaaende
44065,9.477,85,Nordgaaende
44059,9.45,85,Nordgaaende
44053,9.423,85,Nordgaaende
44047,9.396,85,Nordgaaende
44041,9.369,85,Nordgaaende
44035,9.342,85,Nordgaaende
44029,9.316,85,Nordgaaende
44023,9.29,85,Nordgaaende
44017,9.264,85,Nordgaaende
44011,9.238,85,Nordgaaende
44005,9.212,85,Nordgaaende
43999,9.186,85,Nordgaaende
43993,9.161,85,Nordgaaende
43987,9.136,85,Nordgaaende
43981,9.111,85,Nordgaaende
43975,9.086,85,Nordgaaende
43969,9.061,85,Nordgaaende
43963,9.036,85,Nordgaaende
43957,9.011,85,Nordgaaende
43951,8.986,85,Nordgaaende
43945,8.961,85,Nordgaaende
43939,8.936,85,Nordgaaende
43933,8.911,85,Nordgaaende
43927,8.886,85,Nordgaaende
43921,8.861,85,Nordgaaende
43915,8.836,85,Nordgaaende
43909,8.811,85,Nordgaaende
43903,8.786,85,Nordgaaende
43897,8.761,85,Nordgaaende
43891,8.736,85,Nordgaaende
43885,8.712,85,Nordgaaende
43879,8.688,85,Nordgaaende
43873,8.665,85,Nordgaaende
43867,8.642,85,Nordgaaende
43861,8.62,85,Nordgaaende
43855,8.598,85,Nordgaaende
43849,8.577,85,Nordgaaende
43843,8.556,85,Nordgaaende
43837,8.536,85,Nordgaaende
43831,8.516,85,Nordgaaende
43825,8.497,85,Nordgaaende
43819,8.478,85,Nordgaaende
43813,8.46,85,Nordgaaende
43807,8.442,85,Nordgaaende
43801,8.425,85,Nordgaaende
43795,8.409,85,Nordgaaende
43789,8.394,85,Nordgaaende
43783,8.38,85,Nordgaaende
43777,8.367,85,Nordgaaende
43771,8.355,85,Nordgaaende
43765,8.344,85,Nordgaaende
43759,8.334,85,Nordgaaende
43753,8.325,85,Nordgaaende
43747,8.317,85,Nordgaaende
43741,8.31,85,Nordgaaende
43735,8.304,85,Nordgaaende
43729,8.299,85,Nordgaaende
43723,8.296,85,Nordgaaende
43717,8.294,85,Nordgaaende
43555,8.293,85,Nordgaaende
43549,8.292,85,Nordgaaende
43543,8.29,85,Nordgaaende
43537,8.287,85,Nordgaaende
43531,8.283,85,Nordgaaende
43525,8.277,85,Nordgaaende
43519,8.27,85,Nordgaaende
43513,8.261,85,Nordgaaende
43507,8.251,85,Nordgaaende
43501,8.24,85,Nordgaaende
43495,8.228,85,Nordgaaende
43489,8.215,85,Nordgaaende
43483,8.201,85,Nordgaaende
43477,8.186,85,Nordgaaende
43471,8.171,85,Nordgaaende
43465,8.155,85,Nordgaaende
43459,8.138,85,Nordgaaende
43453,8.121,85,Nordgaaende
43447,8.103,85,Nordgaaende
43441,8.085,85,Nordgaaende
43435,8.066,85,Nordgaaende
43429,8.047,85,Nordgaaende
43423,8.028,85,Nordgaaende
43417,8.009,85,Nordgaaende
43411,7.99,85,Nordgaaende
43405,7.971,85,Nordgaaende
43399,7.952,85,Nordgaaende
43393,7.933,85,Nordgaaende
43387,7.914,85,Nordgaaende
43381,7.895,85,Nordgaaende
43375,7.876,85,Nordgaaende
43369,7.857,85,Nordgaaende
43363,7.838,85,Nordgaaende
43357,7.819,85,Nordgaaende
43351,7.8,85,Nordgaaende
43345,7.781,85,Nordgaaende
43339,7.762,85,Nordgaaende
43333,7.743,85,Nordgaaende
43327,7.724,85,Nordgaaende
43321,7.704,85,Nordgaaende
43315,7.684,85,Nordgaaende
43309,7.664,85,Nordgaaende
43303,7.644,85,Nordgaaende
43297,7.624,85,Nordgaaende
43291,7.604,85,Nordgaaende
43285,7.584,85,Nordgaaende
43279,7.564,85,Nordgaaende
43273,7.544,85,Nordgaaende
43267,7.524,85,Nordgaaende
43261,7.504,85,Nordgaaende
43255,7.485,85,Nordgaaende
43249,7.466,85,Nordgaaende
43243,7.447,85,Nordgaaende
43237,7.428,85,Nordgaaende
43231,7.409,85,Nordgaaende
43225,7.39,85,Nordgaaende
43219,7.372,85,Nordgaaende
43213,7.354,85,Nordgaaende
43207,7.336,85,Nordgaaende
43201,7.318,85,Nordgaaende
43195,7.3,85,Nordgaaende
43189,7.282,85,Nordgaaende
43183,7.264,85,Nordgaaende
43177,7.246,85,Nordgaaende
43171,7.228,85,Nordgaaende
43165,7.209,85,Nordgaaende
43159,7.19,85,Nordgaaende
43153,7.171,85,Nordgaaende
43147,7.152,85,Nordgaaende
43141,7.133,85,Nordgaaende
43135,7.114,85,Nordgaaende
43129,7.095,85,Nordgaaende
43123,7.076,85,Nordgaaende
43117,7.057,85,Nordgaaende
43111,7.038,85,Nordgaaende
43105,7.019,85,Nordgaaende
43099,7,85,Nordgaaende
43093,6.981,85,Nordgaaende
43087,6.963,85,Nordgaaende
43081,6.945,85,Nordgaaende
43075,6.927,85,Nordgaaende
43069,6.909,85,Nordgaaende
43063,6.891,85,Nordgaaende
43057,6.874,85,Nordgaaende
43051,6.857,85,Nordgaaende
43045,6.84,85,Nordgaaende
43039,6.824,85,Nordgaaende
43033,6.809,85,Nordgaaende
43027,6.794,85,Nordgaaende
43021,6.78,85,Nordgaaende
43015,6.767,85,Nordgaaende
43009,6.755,85,Nordgaaende
43003,6.744,85,Nordgaaende
42997,6.734,85,Nordgaaende
42991,6.725,85,Nordgaaende
42985,6.717,85,Nordgaaende
42979,6.71,85,Nordgaaende
42973,6.705,85,Nordgaaende
42967,6.701,85,Nordgaaende
42961,6.698,85,Nordgaaende
42955,6.696,85,Nordgaaende
42817,6.695,85,Nordgaaende
42811,6.694,85,Nordgaaende
42805,6.693,85,Nordgaaende
42799,6.691,85,Nordgaaende
42793,6.687,85,Nordgaaende
42787,6.682,85,Nordgaaende
