type,bane_nr,busbar_name,lower_existing_line_name,percent
K,85,85-017.598-K-2,85-16.43-K,86.71121009651063
K,85,85-017.579-K-2,85-16.43-K,85.30066815144764
K,85,85-017.561-K-2,85-16.43-K,83.96436525612467
K,85,85-017.543-K-2,85-16.43-K,82.62806236080166
K,85,85-017.525-K-2,85-16.43-K,81.29175946547868
K,85,85-017.507-K-2,85-16.43-K,79.95545657015596
K,85,85-017.489-K-2,85-16.43-K,78.61915367483296
K,85,85-017.471-K-2,85-16.43-K,77.28285077950997
K,85,85-017.453-K-2,85-16.43-K,75.94654788418698
K,85,85-017.435-K-2,85-16.43-K,74.610244988864
K,85,85-017.416-K-2,85-16.43-K,73.19970304380101
K,85,85-017.397-K-2,85-16.43-K,71.78916109873778
K,85,85-017.378-K-2,85-16.43-K,70.37861915367479
K,85,85-017.359-K-2,85-16.43-K,68.96807720861182
K,85,85-017.340-K-2,85-16.43-K,67.55753526354857
K,85,85-017.321-K-2,85-16.43-K,66.14699331848558
K,85,85-017.302-K-2,85-16.43-K,64.73645137342234
K,85,85-017.283-K-2,85-16.43-K,63.325909428359374
K,85,85-017.264-K-2,85-16.43-K,61.91536748329612
K,85,85-017.245-K-2,85-16.43-K,60.50482553823314
K,85,85-017.226-K-2,85-16.43-K,59.094283593169905
K,85,85-017.207-K-2,85-16.43-K,57.683741648106924
K,85,85-017.188-K-2,85-16.43-K,56.27319970304369
K,85,85-017.169-K-2,85-16.43-K,54.862657757980706
K,85,85-017.150-K-2,85-16.43-K,53.452115812917455
K,85,85-017.131-K-2,85-16.43-K,52.041573867854474
K,85,85-017.112-K-2,85-16.43-K,50.63103192279124
K,85,85-017.093-K-2,85-16.43-K,49.220489977728256
K,85,85-017.075-K-2,85-16.43-K,47.88418708240527
K,85,85-017.057-K-2,85-16.43-K,46.547884187082275
K,85,85-017.040-K-2,85-16.43-K,45.285820341499544
K,85,85-017.024-K-2,85-16.43-K,44.09799554565706
K,85,85-017.008-K-2,85-16.43-K,42.91017074981431
K,85,85-016.993-K-2,85-16.43-K,41.796585003711826
K,85,85-016.979-K-2,85-16.43-K,40.75723830734959
K,85,85-016.965-K-2,85-16.43-K,39.71789161098735
K,85,85-016.952-K-2,85-16.43-K,38.75278396436536
K,85,85-016.940-K-2,85-16.43-K,37.86191536748337
K,85,85-016.929-K-2,85-16.43-K,37.04528582034137
K,85,85-016.920-K-2,85-16.43-K,36.37713437268014
K,85,85-016.912-K-2,85-16.43-K,35.78322197475864
K,85,85-016.905-K-2,85-16.43-K,35.26354862657765
K,85,85-016.899-K-2,85-16.43-K,34.81811432813666
K,85,85-016.893-K-2,85-16.43-K,34.37268002969566
K,85,85-016.888-K-2,85-16.43-K,34.001484780994915
K,85,85-016.884-K-2,85-16.43-K,33.704528582034165
K,85,85-016.881-K-2,85-16.43-K,33.481811432813664
K,85,85-016.879-K-2,85-16.43-K,33.33333333333342
K,85,85-016.878-K-2,85-16.43-K,33.259094283593164
K,85,85-016.877-K-2,85-16.43-K,33.184855233852915
K,85,85-016.876-K-2,85-16.43-K,33.11061618411292
K,85,85-016.874-K-2,85-16.43-K,32.962138084632414
K,85,85-016.870-K-2,85-16.43-K,32.66518188567193
K,85,85-016.865-K-2,85-16.43-K,32.29398663697092
K,85,85-016.859-K-2,85-16.43-K,31.84855233853019
K,85,85-016.851-K-2,85-16.43-K,31.254639940608687
K,85,85-016.842-K-2,85-16.43-K,30.58648849294719
K,85,85-016.831-K-2,85-16.43-K,29.76985894580545
K,85,85-016.819-K-2,85-16.43-K,28.878990348923455
K,85,85-016.806-K-2,85-16.43-K,27.913882702301475
K,85,85-016.792-K-2,85-16.43-K,26.874536005939238
K,85,85-016.777-K-2,85-16.43-K,25.760950259836747
K,85,85-016.761-K-2,85-16.43-K,24.573125463994
K,85,85-016.745-K-2,85-16.43-K,23.385300668151523
K,85,85-016.728-K-2,85-16.43-K,22.123236822568785
K,85,85-016.710-K-2,85-16.43-K,20.786933927245794
K,85,85-016.691-K-2,85-16.43-K,19.376391982182554
K,85,85-016.672-K-2,85-16.43-K,17.965850037119573
K,85,85-016.652-K-2,85-16.43-K,16.48106904231634
K,85,85-016.631-K-2,85-16.43-K,14.922048997772851
K,85,85-016.610-K-2,85-16.43-K,13.363028953229364
K,85,85-016.588-K-2,85-16.43-K,11.729769858945888
K,85,85-016.566-K-2,85-16.43-K,10.096510764662145
K,85,85-016.543-K-2,85-16.43-K,8.389012620638415
K,85,85-016.520-K-2,85-16.43-K,6.681514476614682
K,85,85-016.496-K-2,85-16.43-K,4.899777282850697
K,85,85-016.472-K-2,85-16.43-K,3.118040089086975
K,85,85-016.447-K-2,85-16.43-K,1.262063845582735
K,85,85-016.422-K-2,85-14.575-K,99.56873315363886
