busbar_name,type [R or K],busbar_kilometering [km],current [kA]
80-002.575-K-4-BR1-GR2-82,K,2.575,-1738.6166324487028
80-002.575-K-4-BR2-BR1,K,2.575,-1738.616637458517
80-002.630-K-5-L4-L4,K,2.63,-1738.6175006579986
80-003.224-K-4-BR2-BR1-32,K,3.224,-1738.6198889508798
80-003.226-K-5-L3-L4-31,K,3.226,-1738.6219026581182
80-003.597-K-5-L2-L3-33,K,3.597,-1738.6246428996483
80-003.740-K-4-BR3-BR2-34,K,3.74,-1738.6241977169211
80-003.884-K-5-L1-L2-35,K,3.884,-1738.626762763566
80-005.607-K-4-BR3-BR3,K,5.607,-1738.639788359404
80-005.607-K-5-L1-L1,K,5.607,-1738.639489661166
80-005.638-K-4-B1-BR4-84,K,5.638,-1738.6400472389957
80-005.662-K-5-R2-L1-81,K,5.662,-1738.639895927727
86-008.083-K-4-T1-T1-BB,K,8.083,-1738.6552796025658
86-008.743-K-3-O1-O1-BB,K,8.743,-1738.6548910891001
86-012.764-K-3-O1-O1-BB,K,12.764,-1738.655052992685
86-012.764-K-4-R1-R1-BB,K,12.764,-1738.6550581911195
86-012.764-K-4-T1-R1-81-Fødekobler,K,12.764,-1738.6550581927002
86-012.764-K-4-T1-T1-BB,K,12.764,-1738.6550644885708
86-012.781-K-3-B1-B1-BB,K,12.781,-1738.6550582302607
86-012.781-K-3-O1-B1-82-BB,K,12.781,-1738.6550582315253
86-012.781-K-4-R1-R1-91-BB,K,12.781,-1738.6550581696247
86-012.781-K-5-R1-R2-91-BB,K,12.781,-1738.6550581689924
86-012.975-K-5-R1-R2-BB,K,12.975,-1738.6550581536603
86-012.991-K-3-B1-B1-92-BB,K,12.991,-1738.655058031105
86-013.280-K-3-B1-B1-BB,K,13.28,-1738.6550579397467
86-013.280-K-4-R1-R1-BB,K,13.28,-1738.6550580118817
85-023.765-K-1-BR1-BR1,K,23.765,-1738.4848279391942
85-023.765-K-2-L1-L1,K,23.765,-1738.4848811720583
85-024.875-K-1-BR1-BR2-31,K,24.875,-1738.4704608175655
85-024.875-K-2-L1-L2-32,K,24.875,-1738.4705022998792
85-028.829-K-1-BR1-B4-81,K,28.829,-1738.419284050484
85-028.829-K-2-L2-R1-81,K,28.829,-1738.4192836754316
83-020.694-K-1-R5-T1-82-Fødekobler,K,20.694,0.0
83-020.694-K-2-O2-O2-Fødekobler,K,20.694,0.0
83-025.610-K-2-O2-O1-21,K,25.61,0.0
83-025.972-K-1-T1-T2-22-BB,K,25.972,0.0
83-027.228-K-2-O1-GR1-81-Fødekobler,K,27.228,0.0
83-027.228-K-2-T2-T2-Fødekobler,K,27.228,0.0
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,-1738.645191433269
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,-1738.6452338852864
84-009.863-K-1-B1-B2-32-BB,K,9.863,-1738.6451818614614
84-009.863-K-2-R3-R2-81-BB,K,9.863,-1738.645200632646
84-010.996-K-1-B2-B3-34,K,10.996,-1738.645177816513
84-010.996-K-2-B2-B1-33,K,10.996,-1738.6451856943231
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,-1738.6451752425949
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,-1738.6451750012448
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,-1738.6451749699631
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,-1738.6451755152325
80-005.630-K-2-T3-T3-Fødekobler,K,5.63,-1738.6407043480842
80-005.654-K-2-O1-O1-Fødekobler,K,5.654,-1738.6407241756406
80-006.629-K-1-O2-O1-32-BB,K,6.629,-1738.6431594084022
80-006.629-K-1-T1-T3-31-BB,K,6.629,-1738.6431621312495
80-006.629-K-T2-T2-BB,K,6.629,-1738.64316213106
80-007.426-K-1-O2-O2-Fødekobler,K,7.426,-1738.645150357502
