id,km,BTR,spor
45655,13.986,85,Nordgående
45649,13.958,85,Nordgående
45643,13.93,85,Nordgående
45637,13.902,85,Nordgående
45631,13.874,85,Nordgående
45625,13.846,85,Nordgående
45619,13.818,85,Nordgående
45613,13.79,85,Nordgående
45607,13.762,85,Nordgående
45601,13.734,85,Nordgående
45595,13.706,85,Nordgående
45589,13.678,85,Nordgående
45583,13.65,85,Nordgående
45577,13.622,85,Nordgående
45571,13.594,85,Nordgående
45565,13.566,85,Nordgående
45559,13.538,85,Nordgående
45553,13.51,85,Nordgående
45547,13.482,85,Nordgående
45541,13.454,85,Nordgående
45535,13.426,85,Nordgående
45529,13.399,85,Nordgående
45523,13.372,85,Nordgående
45517,13.345,85,Nordgående
45511,13.318,85,Nordgående
45505,13.291,85,Nordgående
45499,13.264,85,Nordgående
45493,13.237,85,Nordgående
45487,13.21,85,Nordgående
45481,13.183,85,Nordgående
45475,13.156,85,Nordgående
45469,13.129,85,Nordgående
45463,13.102,85,Nordgående
45457,13.075,85,Nordgående
45451,13.049,85,Nordgående
45445,13.023,85,Nordgående
45439,12.997,85,Nordgående
45433,12.971,85,Nordgående
45427,12.945,85,Nordgående
45421,12.919,85,Nordgående
45415,12.894,85,Nordgående
45409,12.869,85,Nordgående
45403,12.844,85,Nordgående
45397,12.82,85,Nordgående
45391,12.796,85,Nordgående
45385,12.773,85,Nordgående
45379,12.75,85,Nordgående
45373,12.728,85,Nordgående
45367,12.706,85,Nordgående
45361,12.685,85,Nordgående
45355,12.664,85,Nordgående
45349,12.644,85,Nordgående
45343,12.625,85,Nordgående
45337,12.606,85,Nordgående
45331,12.588,85,Nordgående
45325,12.57,85,Nordgående
45319,12.553,85,Nordgående
45313,12.536,85,Nordgående
45307,12.52,85,Nordgående
45301,12.505,85,Nordgående
45295,12.49,85,Nordgående
45289,12.476,85,Nordgående
45283,12.462,85,Nordgående
45277,12.449,85,Nordgående
45271,12.437,85,Nordgående
45265,12.425,85,Nordgående
45259,12.414,85,Nordgående
45253,12.404,85,Nordgående
45247,12.395,85,Nordgående
45241,12.387,85,Nordgående
45235,12.38,85,Nordgående
45229,12.374,85,Nordgående
45223,12.37,85,Nordgående
45217,12.367,85,Nordgående
45211,12.365,85,Nordgående
45085,12.364,85,Nordgående
45079,12.363,85,Nordgående
45073,12.361,85,Nordgående
45067,12.358,85,Nordgående
45061,12.353,85,Nordgående
45055,12.347,85,Nordgående
45049,12.339,85,Nordgående
45043,12.33,85,Nordgående
45037,12.32,85,Nordgående
45031,12.309,85,Nordgående
45025,12.297,85,Nordgående
45019,12.284,85,Nordgående
45013,12.27,85,Nordgående
45007,12.255,85,Nordgående
45001,12.239,85,Nordgående
44995,12.222,85,Nordgående
44989,12.205,85,Nordgående
44983,12.187,85,Nordgående
44977,12.168,85,Nordgående
44971,12.149,85,Nordgående
44965,12.129,85,Nordgående
44959,12.108,85,Nordgående
44953,12.087,85,Nordgående
44947,12.065,85,Nordgående
44941,12.042,85,Nordgående
44935,12.019,85,Nordgående
44929,11.995,85,Nordgående
44923,11.971,85,Nordgående
44917,11.946,85,Nordgående
44911,11.92,85,Nordgående
44905,11.894,85,Nordgående
44899,11.868,85,Nordgående
44893,11.841,85,Nordgående
44887,11.814,85,Nordgående
44881,11.786,85,Nordgående
44875,11.758,85,Nordgående
44869,11.73,85,Nordgående
44863,11.702,85,Nordgående
44857,11.674,85,Nordgående
44851,11.646,85,Nordgående
44845,11.618,85,Nordgående
44839,11.59,85,Nordgående
44833,11.562,85,Nordgående
44827,11.534,85,Nordgående
44821,11.506,85,Nordgående
44815,11.478,85,Nordgående
44809,11.45,85,Nordgående
44803,11.422,85,Nordgående
44797,11.394,85,Nordgående
44791,11.366,85,Nordgående
44785,11.338,85,Nordgående
44779,11.31,85,Nordgående
44773,11.282,85,Nordgående
44767,11.254,85,Nordgående
44761,11.226,85,Nordgående
44755,11.198,85,Nordgående
44749,11.17,85,Nordgående
44743,11.143,85,Nordgående
44737,11.116,85,Nordgående
44731,11.089,85,Nordgående
44725,11.062,85,Nordgående
44719,11.035,85,Nordgående
44713,11.008,85,Nordgående
44707,10.981,85,Nordgående
44701,10.954,85,Nordgående
44695,10.927,85,Nordgående
44689,10.9,85,Nordgående
44683,10.873,85,Nordgående
44677,10.846,85,Nordgående
44671,10.819,85,Nordgående
44665,10.792,85,Nordgående
44659,10.765,85,Nordgående
44653,10.738,85,Nordgående
44647,10.712,85,Nordgående
44641,10.686,85,Nordgående
44635,10.66,85,Nordgående
44629,10.635,85,Nordgående
44623,10.61,85,Nordgående
44617,10.586,85,Nordgående
44611,10.562,85,Nordgående
44605,10.539,85,Nordgående
44599,10.516,85,Nordgående
44593,10.494,85,Nordgående
44587,10.472,85,Nordgående
44581,10.451,85,Nordgående
44575,10.431,85,Nordgående
44569,10.411,85,Nordgående
44563,10.392,85,Nordgående
44557,10.374,85,Nordgående
44551,10.356,85,Nordgående
44545,10.339,85,Nordgående
44539,10.323,85,Nordgående
44533,10.307,85,Nordgående
44527,10.292,85,Nordgående
44521,10.278,85,Nordgående
44515,10.264,85,Nordgående
44509,10.251,85,Nordgående
44503,10.238,85,Nordgående
44497,10.226,85,Nordgående
44491,10.215,85,Nordgående
44485,10.204,85,Nordgående
44479,10.194,85,Nordgående
44473,10.184,85,Nordgående
44467,10.175,85,Nordgående
44461,10.167,85,Nordgående
44455,10.16,85,Nordgående
44449,10.154,85,Nordgående
44443,10.149,85,Nordgående
44437,10.145,85,Nordgående
44431,10.142,85,Nordgående
44425,10.14,85,Nordgående
44419,10.139,85,Nordgående
44287,10.138,85,Nordgående
44281,10.137,85,Nordgående
44275,10.135,85,Nordgående
44269,10.132,85,Nordgående
44263,10.127,85,Nordgående
44257,10.121,85,Nordgående
44251,10.113,85,Nordgående
44245,10.104,85,Nordgående
44239,10.094,85,Nordgående
44233,10.082,85,Nordgående
44227,10.069,85,Nordgående
44221,10.055,85,Nordgående
44215,10.04,85,Nordgående
44209,10.025,85,Nordgående
44203,10.009,85,Nordgående
44197,9.992,85,Nordgående
44191,9.974,85,Nordgående
44185,9.956,85,Nordgående
44179,9.937,85,Nordgående
44173,9.918,85,Nordgående
44167,9.898,85,Nordgående
44161,9.877,85,Nordgående
44155,9.856,85,Nordgående
44149,9.834,85,Nordgående
44143,9.812,85,Nordgående
44137,9.789,85,Nordgående
44131,9.765,85,Nordgående
44125,9.741,85,Nordgående
44119,9.716,85,Nordgående
44113,9.691,85,Nordgående
44107,9.665,85,Nordgående
44101,9.639,85,Nordgående
44095,9.612,85,Nordgående
44089,9.585,85,Nordgående
44083,9.558,85,Nordgående
44077,9.531,85,Nordgående
44071,9.504,85,Nordgående
44065,9.477,85,Nordgående
44059,9.45,85,Nordgående
44053,9.423,85,Nordgående
44047,9.396,85,Nordgående
44041,9.369,85,Nordgående
44035,9.342,85,Nordgående
44029,9.316,85,Nordgående
44023,9.29,85,Nordgående
44017,9.264,85,Nordgående
44011,9.238,85,Nordgående
44005,9.212,85,Nordgående
43999,9.186,85,Nordgående
43993,9.161,85,Nordgående
43987,9.136,85,Nordgående
43981,9.111,85,Nordgående
43975,9.086,85,Nordgående
43969,9.061,85,Nordgående
43963,9.036,85,Nordgående
43957,9.011,85,Nordgående
43951,8.986,85,Nordgående
43945,8.961,85,Nordgående
43939,8.936,85,Nordgående
43933,8.911,85,Nordgående
43927,8.886,85,Nordgående
43921,8.861,85,Nordgående
43915,8.836,85,Nordgående
43909,8.811,85,Nordgående
43903,8.786,85,Nordgående
43897,8.761,85,Nordgående
43891,8.736,85,Nordgående
43885,8.712,85,Nordgående
43879,8.688,85,Nordgående
43873,8.665,85,Nordgående
43867,8.642,85,Nordgående
43861,8.62,85,Nordgående
43855,8.598,85,Nordgående
